,Animal Name,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Order,Superorder,Suborder,Infraorder,Family,Superfamily,Subfamily,Genus,Subgenus,Tribe,Clade
0,Arctic Wolf,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,,Canis,,,
1,Arctic Fox,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,,Vulpes,,,
2,Pink Fairy Armadillo,Animalia,Chordata,Vertebrata,Mammalia,,,Cingulata,,,,Chlamyphoridae,,Chlamyphorinae,Chlamyphorus,,,
3,Sumatran Elephant,Animalia,Chordata,Vertebrata,Mammalia,,,Proboscidea,,,,Elephantidae,,,Elephas,,,
4,Ermine,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Mustelidae,,Mustelinae,Mustela,,,
5,Sunda Flying Lemur,Animalia,Chordata,Vertebrata,Mammalia,,,Dermoptera,,,,Cynocephalidae,,,Galeopterus,,,
6,Ring-Tailed Lemur,Animalia,Chordata,Vertebrata,Mammalia,,,Primates,,Strepsirrhini,,Lemuridae,,,Lemur,,,
7,Domestic Pig,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,,Suidae,,,Sus,,,
8,Grey Wolf,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,,Canis,,,
9,American Red Squirrel,Animalia,Chordata,Vertebrata,Mammalia,,,Rodentia,,,,Sciuridae,,,Tamiasciurus,,,
10,Arabian Oryx,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,,Bovidae,,Hippotraginae,Oryx,,,
11,Mexican Gray Wolf,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,,Canis,,,
12,Highland Cattle,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,,Bovidae,,Bovinae,Bos,,,
13,Borneo Elephant,Animalia,Chordata,Vertebrata,Mammalia,,,Proboscidea,,,,Elephantidae,,,Elephas,,,
14,Urial,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,,Bovidae,,Caprinae,Ovis,,,
15,Quokka,Animalia,Chordata,Vertebrata,Mammalia,,Marsupialia,Diprotodontia,,,,Macropodidae,,Macropodinae,Setonix,,,
16,Fennec Fox,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,,Vulpes,,,
17,Asian Elephant,Animalia,Chordata,Vertebrata,Mammalia,,,Proboscidea,,,,Elephantidae,,,Elephas,,,
18,Lowland Streaked Tenrec,Animalia,Chordata,Vertebrata,Mammalia,,,Afrosoricida,,,,Tenrecidae,,,Hemicentetes,,,
19,Brown Hyena,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Feliformia,,Hyaenidae,,,Hyaena,,,
20,Patagonian Mara,Animalia,Chordata,Vertebrata,Mammalia,,,Rodentia,,,,Caviidae,,,Dolichotis,,,
21,Sea Mink,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Mustelidae,,Mustelinae,Neovison,,,
22,Blackbuck,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,,Bovidae,,Antilopinae,Antilope,,,
23,Tufted Deer,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,Ruminantia,,Cervidae,,Cervinae,Elaphodus,,,
24,Golden Snub-Nosed Monkey,Animalia,Chordata,Vertebrata,Mammalia,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Rhinopithecus,,,
25,White Rhinoceros,Animalia,Chordata,Vertebrata,Mammalia,,,Perissodactyla,,,,Rhinocerotidae,,,Ceratotherium,,,
26,African Bush Elephant,Animalia,Chordata,Vertebrata,Mammalia,,,Proboscidea,,,,Elephantidae,,,Loxodonta,,,
27,Indian Flying Fox,Animalia,Chordata,Vertebrata,Mammalia,,,Chiroptera,,,,Pteropodidae,,,Pteropus,,,
28,Sika Deer,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,Ruminantia,,Cervidae,,Cervinae,Cervus,,,
29,Red Deer,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,Ruminantia,,Cervidae,,Cervinae,Cervus,,,
30,African Golden Wolf,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,,Canis,,,
31,Lion-Tailed Macaque,Animalia,Chordata,Vertebrata,Mammalia,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Macaca,,,
32,Long-Tailed Macaque,Animalia,Chordata,Vertebrata,Mammalia,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Macaca,,,
33,Dusky Leaf Monkey,Animalia,Chordata,Vertebrata,Mammalia,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Trachypithecus,,,
34,Black-Headed Spider Monkey,Animalia,Chordata,Vertebrata,Mammalia,,,Primates,,Haplorhini,Simiiformes,Atelidae,,Atelinae,Ateles,,,
35,Gray Fox,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,,Urocyon,,,
36,Indian Gray Mongoose,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Feliformia,,Herpestidae,,Herpestinae,Herpestes,,,
37,Antilopine Kangaroo,Animalia,Chordata,Vertebrata,Mammalia,,Marsupialia,Diprotodontia,,,,Macropodidae,,,Macropus,Osphranter,,
38,Japanese Macaque,Animalia,Chordata,Vertebrata,Mammalia,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Macaca,,,
39,Red Fox,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,,Vulpes,,,
40,Bush Dog,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,,Speothos,,,
41,Arctic Wolf,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,,Canis,,,
42,Arctic Fox,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,,Vulpes,,,
43,Pink Fairy Armadillo,Animalia,Chordata,Vertebrata,Mammalia,,,Cingulata,,,,Chlamyphoridae,,Chlamyphorinae,Chlamyphorus,,,
44,Sumatran Elephant,Animalia,Chordata,Vertebrata,Mammalia,,,Proboscidea,,,,Elephantidae,,,Elephas,,,
45,Ermine,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Mustelidae,,Mustelinae,Mustela,,,
46,Sunda Flying Lemur,Animalia,Chordata,Vertebrata,Mammalia,,,Dermoptera,,,,Cynocephalidae,,,Galeopterus,,,
47,Ring-Tailed Lemur,Animalia,Chordata,Vertebrata,Mammalia,,,Primates,,Strepsirrhini,,Lemuridae,,,Lemur,,,
48,Domestic Pig,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,,Suidae,,,Sus,,,
49,Grey Wolf,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,,Canis,,,
50,American Red Squirrel,Animalia,Chordata,Vertebrata,Mammalia,,,Rodentia,,,,Sciuridae,,,Tamiasciurus,,,
51,Arabian Oryx,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,,Bovidae,,Hippotraginae,Oryx,,,
52,Mexican Gray Wolf,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,,Canis,,,
53,Highland Cattle,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,,Bovidae,,Bovinae,Bos,,,
54,Borneo Elephant,Animalia,Chordata,Vertebrata,Mammalia,,,Proboscidea,,,,Elephantidae,,,Elephas,,,
55,Urial,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,,Bovidae,,Caprinae,Ovis,,,
56,Quokka,Animalia,Chordata,Vertebrata,Mammalia,,Marsupialia,Diprotodontia,,,,Macropodidae,,Macropodinae,Setonix,,,
57,Fennec Fox,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,,Vulpes,,,
58,Asian Elephant,Animalia,Chordata,Vertebrata,Mammalia,,,Proboscidea,,,,Elephantidae,,,Elephas,,,
